client_id,battery_score,cpu_score,memory_score,current_combined_score,future_combined_score,future_weight,final_score,round_number,timestamp,source
2783944521264332804,0.2793919737103169,0.7793533435475974,0.7606816460050312,0.47564218213671583,0.47564218213671583,0.3,0.47564218213671583,0,1749976718.3508158,client_selector
2277463216277452806,0.39285260913947906,0.7842845811832959,0.7504337530653821,0.542655232333423,0.542655232333423,0.3,0.542655232333423,0,1749976718.3747125,client_selector
-1001217304147527670,0.2217528124528666,0.6454253268622304,0.6988095263617887,0.4018986581165238,0.4018986581165238,0.3,0.4018986581165238,0,1749976718.3800783,client_selector
-2697582846930411501,0.3060676266907756,0.6319007562254343,0.6846960987933525,0.4469599470182227,0.4469599470182227,0.3,0.4469599470182227,0,1749976718.385785,client_selector
-3496498110043824107,0.2250313571024325,0.6467481141784143,0.7683483716789962,0.41803811143294156,0.41803811143294156,0.3,0.41803811143294156,0,1749976718.3912628,client_selector
8552059241961435156,0.2988582538824285,0.6130601250425055,0.6467743102465049,0.43128183938725917,0.43128183938725917,0.3,0.43128183938725917,0,1749976718.3980963,client_selector
-6871773080057147365,0.2934694238359137,0.7063979887345753,0.7802353593954539,0.47340832392755405,0.47340832392755405,0.3,0.473408323927554,0,1749976718.432948,client_selector
3264603375885355032,0.24120847238555299,0.772214383491209,0.6136183639438147,0.42189163291833653,0.42189163291833653,0.3,0.42189163291833653,0,1749976718.438405,client_selector
3674215807325853722,0.2301644150320594,0.6946495092646421,0.6418212639662028,0.40539280366540464,0.40539280366540464,0.3,0.4053928036654046,0,1749976718.443392,client_selector
4475505639930329123,0.3384415221671462,0.6329905479280885,0.7453305410453597,0.4787291310949774,0.4787291310949774,0.3,0.4787291310949774,0,1749976718.4484138,client_selector
3702909564784511011,0.21935710132159966,0.7266884833229181,0.7718657163953483,0.4313251007366131,0.4313251007366131,0.3,0.4313251007366131,0,1749976718.463442,client_selector
7330151208245940261,0.3227734284717855,0.6008376023171187,0.6602746220069367,0.4458865019478824,0.4458865019478824,0.3,0.4458865019478824,0,1749976718.4697797,client_selector
9217013792458313766,0.2717731597122388,0.7334366476459596,0.6857660808725732,0.44690444153104986,0.44690444153104986,0.3,0.44690444153104986,0,1749976718.4749146,client_selector
-4457730604504483794,0.21470586350043214,0.7353123063183424,0.7263409827408376,0.4211541759120953,0.4211541759120953,0.3,0.4211541759120953,0,1749976718.534441,client_selector
-6337347326474405840,0.32258753601338236,0.6575251444966236,0.7971077192788261,0.48447909436311937,0.48447909436311937,0.3,0.4844790943631193,0,1749976718.5396712,client_selector
